,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Cluster_KM
0,2,3,3366.0,5403.0,12974.0,4400.0,5977.0,1744.0,0
1,2,3,13146.0,1124.0,4523.0,1420.0,549.0,497.0,0
2,2,3,31714.0,12319.0,11757.0,287.0,3881.0,2931.0,0
3,2,3,21217.0,6208.0,14982.0,3095.0,6707.0,602.0,0
4,2,3,24653.0,9465.0,12091.0,294.0,5058.0,2168.0,0
5,1,3,10253.0,1114.0,3821.0,397.0,964.0,412.0,1
6,2,3,1020.0,8816.0,12121.0,134.0,4508.0,1080.0,0
7,1,3,5876.0,6157.0,2933.0,839.0,370.0,3850.0,1
8,2,3,18601.0,6327.0,10099.0,2205.0,2767.0,3181.0,0
9,1,3,7780.0,2495.0,9464.0,669.0,2518.0,501.0,1
10,2,3,17546.0,4519.0,4602.0,1066.0,2259.0,2124.0,0
11,1,3,5567.0,871.0,2010.0,3383.0,375.0,569.0,1
12,1,3,31276.0,1917.0,4469.0,7787.25,2381.0,3850.0,3
13,2,3,26373.0,15489.5,22019.0,5154.0,4337.0,3850.0,0
14,2,3,22647.0,9776.0,13792.0,2915.0,4482.0,3850.0,0
15,2,3,16165.0,4230.0,7595.0,201.0,4003.0,57.0,0
16,1,3,9898.0,961.0,2861.0,3151.0,242.0,833.0,1
17,1,3,14276.0,803.0,3045.0,485.0,100.0,518.0,1
18,2,3,4113.0,15489.5,23549.375,1158.0,8604.0,3850.0,0
19,1,3,37788.25,2100.0,2609.0,1200.0,1107.0,823.0,1
20,1,3,18815.0,3610.0,11107.0,1148.0,2134.0,2963.0,1
21,1,3,2612.0,4339.0,3133.0,2088.0,820.0,985.0,1
22,1,3,21632.0,1318.0,2886.0,266.0,918.0,405.0,1
23,1,3,29729.0,4786.0,7326.0,6130.0,361.0,1083.0,3
24,1,3,1502.0,1979.0,2262.0,425.0,483.0,395.0,1
25,2,3,688.0,5491.0,11091.0,833.0,4239.0,436.0,0
26,1,3,29955.0,4362.0,5428.0,1729.0,862.0,3850.0,3
27,2,3,15168.0,10556.0,12477.0,1920.0,6506.0,714.0,0
28,2,3,4591.0,15489.5,16709.0,33.0,6956.0,433.0,0
29,1,3,37788.25,555.0,902.0,7787.25,212.0,2916.0,3
30,1,3,24025.0,4332.0,4757.0,7787.25,1145.0,3850.0,3
31,1,3,19176.0,3065.0,5956.0,2033.0,2575.0,2802.0,1
32,2,3,10850.0,7555.0,14961.0,188.0,6899.0,46.0,0
33,2,3,630.0,11095.0,23549.375,787.0,9529.0,72.0,0
34,2,3,9670.0,7027.0,10471.0,541.0,4618.0,65.0,0
35,2,3,5181.0,15489.5,21531.0,1740.0,7353.0,3850.0,0
36,2,3,3103.0,14069.0,21955.0,1668.0,6792.0,1452.0,0
37,2,3,37788.25,15489.5,23549.375,7782.0,9598.375,3850.0,0
38,2,3,11519.0,6152.0,10868.0,584.0,5121.0,1476.0,0
39,2,3,4967.0,15489.5,23549.375,1798.0,9598.375,1163.0,0
40,1,3,6269.0,1095.0,1980.0,3860.0,609.0,2162.0,1
41,1,3,3347.0,4051.0,6996.0,239.0,1538.0,301.0,1
42,2,3,37788.25,3916.0,5876.0,532.0,2587.0,1278.0,0
43,2,3,491.0,10473.0,11532.0,744.0,5611.0,224.0,0
44,1,3,27329.0,1449.0,1947.0,2436.0,204.0,1333.0,1
45,1,3,5264.0,3683.0,5005.0,1057.0,2024.0,1130.0,1
46,2,3,4098.0,15489.5,23549.375,2616.0,9598.375,1340.0,0
47,2,3,5417.0,9933.0,10487.0,38.0,7572.0,1282.0,0
48,1,3,13779.0,1970.0,1648.0,596.0,227.0,436.0,1
49,1,3,6137.0,5360.0,8040.0,129.0,3084.0,1603.0,1
50,2,3,8590.0,3045.0,7854.0,96.0,4095.0,225.0,0
51,2,3,35942.0,15489.5,23549.375,3254.0,9598.375,2017.0,0
52,2,3,7823.0,6245.0,6544.0,4154.0,4074.0,964.0,0
53,2,3,9396.0,11601.0,15775.0,2896.0,7677.0,1295.0,0
54,1,3,4760.0,1227.0,3250.0,3724.0,1247.0,1145.0,1
55,2,3,85.0,15489.5,23549.375,36.0,9598.375,1423.0,0
56,1,3,9.0,1534.0,7417.0,175.0,3468.0,27.0,1
57,2,3,19913.0,6759.0,13462.0,1256.0,5141.0,834.0,0
58,1,3,2446.0,7260.0,3993.0,5870.0,788.0,3095.0,3
59,1,3,8352.0,2820.0,1293.0,779.0,656.0,144.0,1
60,1,3,16705.0,2037.0,3202.0,7787.25,116.0,1365.0,3
61,1,3,18291.0,1266.0,21042.0,5373.0,4173.0,3850.0,3
62,1,3,4420.0,5139.0,2661.0,7787.25,1321.0,181.0,3
63,2,3,19899.0,5332.0,8713.0,7787.25,764.0,648.0,3
64,2,3,8190.0,6343.0,9794.0,1285.0,1901.0,1780.0,0
65,1,3,20398.0,1137.0,3.0,4407.0,3.0,975.0,3
66,1,3,717.0,3587.0,6532.0,7530.0,529.0,894.0,3
67,2,3,12205.0,12697.0,23549.375,869.0,9598.375,1009.0,0
68,1,3,10766.0,1175.0,2067.0,2096.0,301.0,167.0,1
69,1,3,1640.0,3259.0,3655.0,868.0,1202.0,1653.0,1
70,1,3,7005.0,829.0,3009.0,430.0,610.0,529.0,1
71,2,3,219.0,9540.0,14403.0,283.0,7818.0,156.0,0
72,2,3,10362.0,9232.0,11009.0,737.0,3537.0,2342.0,0
73,1,3,20874.0,1563.0,1783.0,2320.0,550.0,772.0,1
74,2,3,11867.0,3327.0,4814.0,1178.0,3837.0,120.0,0
75,2,3,16117.0,15489.5,23549.375,1026.0,9598.375,2944.0,0
76,2,3,22925.0,15489.5,23549.375,987.0,9598.375,903.0,0
77,1,3,37788.25,5025.0,8117.0,6312.0,1579.0,3850.0,3
78,1,3,7864.0,542.0,4042.0,7787.25,165.0,46.0,3
79,1,3,24904.0,3836.0,5330.0,3443.0,454.0,3178.0,3
80,1,3,11405.0,596.0,1638.0,3347.0,69.0,360.0,1
81,1,3,12754.0,2762.0,2530.0,7787.25,627.0,1117.0,3
82,2,3,9198.0,15489.5,23549.375,3232.0,9598.375,3850.0,0
83,1,3,11314.0,3090.0,2062.0,7787.25,71.0,2698.0,3
84,2,3,5626.0,12220.0,11323.0,206.0,5038.0,244.0,0
85,1,3,3.0,2920.0,6252.0,440.0,223.0,709.0,1
86,2,3,23.0,2616.0,8118.0,145.0,3874.0,217.0,0
87,1,3,403.0,254.0,610.0,774.0,54.0,63.0,1
88,1,3,503.0,112.0,778.0,895.0,56.0,132.0,1
89,1,3,9658.0,2182.0,1909.0,5639.0,215.0,323.0,3
90,2,3,11594.0,7779.0,12144.0,3252.0,8035.0,3029.0,0
91,2,3,1420.0,10810.0,16267.0,1593.0,6766.0,1838.0,0
92,2,3,2932.0,6459.0,7677.0,2561.0,4573.0,1386.0,0
93,1,3,37788.25,3504.0,8906.0,7787.25,1480.0,2498.0,3
94,1,3,14100.0,2132.0,3445.0,1336.0,1491.0,548.0,1
95,1,3,15587.0,1014.0,3970.0,910.0,139.0,1378.0,1
96,2,3,1454.0,6337.0,10704.0,133.0,6830.0,1831.0,0
97,2,3,8797.0,10646.0,14886.0,2471.0,8969.0,1438.0,0
98,2,3,1531.0,8397.0,6981.0,247.0,2505.0,1236.0,0
99,2,3,1406.0,15489.5,23549.375,673.0,836.0,3.0,0
100,1,3,11818.0,1648.0,1694.0,2276.0,169.0,1647.0,1
101,2,3,12579.0,11114.0,17569.0,805.0,6457.0,1519.0,0
